Bug ID,Reported In,URL,Database,Version / Commit,R Uncommitted,R Committed,Repeatable R,Serializable,Pessimistic,Optimistic,Interesting,Bug summary,Transaction Bug,Bug type,Deterministic,# Connections,Root cause,Issue closed
TIDB-21151,ICSE2024,https://github.com/pingcap/tidb/issues/21151,TiDB,4.8.0.tikv,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NO_INDEX_MERGE and USE_INDEX_MERGE have different behaviours in transaction,TRUE,Incorrect query result,TRUE,2,,TRUE
TIDB-21284,ICSE2024,https://github.com/pingcap/tidb/issues/21284,TiDB,4.0.8,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,transaction retry may cause panic,TRUE,Unexpected error,TRUE,2,,TRUE
TIDB-21447,ICSE2024,https://github.com/pingcap/tidb/issues/21447,TiDB,4.0.8.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,read using different executors in transaction result in different results,TRUE,Incorrect query result,TRUE,2,,TRUE
TIDB-21470,ICSE2024,https://github.com/pingcap/tidb/issues/21470,TiDB,c9288d24,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Amending transaction accepts DDLs that changes column types but gives wrong result,TRUE,Incorrect database state,TRUE,2,,TRUE
TIDB-21498,ICSE2024,https://github.com/pingcap/tidb/issues/21498,TiDB,3a32bd2d.tikv,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,transaction sees inconsistent data when there are concurrent DDLs,TRUE,Incorrect query result,TRUE,2,,TRUE
TIDB-21506,ICSE2024,https://github.com/pingcap/tidb/issues/21506,TiDB,4.0.7.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Inserting data updated by another tranzaction does not fail when it should.,TRUE,Missing error,TRUE,2,,FALSE
TIDB-21618,ICSE2024,https://github.com/pingcap/tidb/issues/21618,TiDB,6.4.0.tikv,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,pessimistic lock doesn't work on the partition for subquery/joins,TRUE,Missing blocking,TRUE,2,,TRUE
TIDB-21688,ICSE2024,https://github.com/pingcap/tidb/issues/21688,TiDB,4.0.7.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Locking is different depending on whether the queried column is part of a point or a table scan.,TRUE,Missing blocking,TRUE,2,,FALSE
TIDB-21722,ICSE2024,https://github.com/pingcap/tidb/issues/21722,TiDB,49b926ed,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,execute DDL statement in transaction reports 'invalid transaction'.,TRUE,Unexpected error,TRUE,1,,TRUE
TIDB-22345,ICSE2024,https://github.com/pingcap/tidb/issues/22345,TiDB,v4.0.0-beta.2.tikv,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"""Select For Update"" in decorrelated subquery return WriteConflictError in pessimistic mode.",TRUE,Unexpected error,TRUE,2,,FALSE
TIDB-22658,ICSE2024,https://github.com/pingcap/tidb/issues/22658,TiDB,4.0.0-beta.2.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,read only transactions are read/write,TRUE,Missing error,TRUE,1,,TRUE
TIDB-23179,ICSE2024,https://github.com/pingcap/tidb/issues/23179,TiDB,4.0.11,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,bug in point-get + pessimistic txn + overflow,TRUE,Unexpected error,TRUE,1,,TRUE
TIDB-23380,ICSE2024,https://github.com/pingcap/tidb/issues/23380,TiDB,9c48b24c.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,processlist.txnstart is missing when tidb_snapshot is set,FALSE,Incorrect query result,TRUE,1,,TRUE
TIDB-24195,ICSE2024,https://github.com/pingcap/tidb/issues/24195,TiDB,6.4.0.tikv,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Query in optimistic transaction returns rows with same PK,TRUE,Incorrect database state,TRUE,1,,FALSE
